dataset,method,seed_or_ensemble,IC,RIC,ICIR,RICIR,prec_10,top5_gross_sharpe,top5_net_sharpe_10bps,top5_sortino_10bps,top5_max_drawdown_10bps,top5_avg_turnover,top10_net_sharpe_10bps,top10_avg_turnover
NASDAQ,stockmixer_fixed,seed_1,0.0214287172564866,0.02529112263122267,0.24665906879719784,0.24044415126018823,0.4978902953586499,0.31868403796914796,-0.39822957866976094,-0.594282872261667,-0.40184640711758957,0.8312236286919831,0.11082207153986218,0.8050632911392406
NASDAQ,tc_stockmixer,seed_1,0.008269033166373603,0.018426613254335145,0.12583904554891098,0.2306232037556682,0.4957805907172996,0.3208978417740844,-0.2952444590911394,-0.4556600441469439,-0.3483970747735837,0.8683544303797469,0.29476496558418125,0.7670886075949368
NASDAQ,tc_stockmixer,seed_2,0.016555432618001263,0.03344122418924654,0.2165802084569994,0.3426184185704765,0.4818565400843882,0.6796108475729892,0.37505969721215277,0.6378527972870538,-0.1940956824053125,0.3738396624472574,0.08669009864794679,0.3805907172995781
NASDAQ,tc_stockmixer,seed_3,0.011175300876991355,0.026724692232095244,0.14991362681002965,0.2848783863154915,0.48016877637130806,-0.2836099856315653,-0.6981028351152572,-0.9290862144964334,-0.32426607999431556,0.42109704641350215,-0.6048755120371105,0.4565400843881857
NASDAQ,tc_stockmixer,ensemble_kappa_0.0,0.0160942629882827,0.0341758111249891,,,,,-1.121944241769466,,-0.3383276539384784,0.4616033755274262,,
NASDAQ,tc_stockmixer,ensemble_kappa_0.25,0.0162781705092985,0.0334833534514876,,,,,-1.2248982520867484,,-0.3634035981419923,0.5358649789029536,,
SP500,stockmixer_fixed,seed_1,0.018088332345951336,0.019496805296470424,0.08705332130907042,0.08410865367411334,0.5014204545454546,0.5608763298351596,0.09028860256762589,0.13741663646127633,-0.36093727011101484,0.6903409090909091,0.19150262125732082,0.6545454545454544
SP500,tc_stockmixer,seed_1,0.015987227663740184,0.012589482928584165,0.07661708191790474,0.05628152310718802,0.49545454545454537,0.787829300654144,0.4750377498390665,0.7610287914619428,-0.23574418943337672,0.4335227272727273,0.8560833951689164,0.40284090909090914
SP500,tc_stockmixer,seed_2,0.012259316134522823,0.011342575791797968,0.05546711122888572,0.04948799451607956,0.4914772727272727,0.354455083560568,0.06118952117509631,0.0960419500424199,-0.3935903381989443,0.4426136363636364,0.3912503063888648,0.4579545454545455
SP500,tc_stockmixer,seed_3,0.016176970327537458,0.01587442588734222,0.08473116112443158,0.07235503474016822,0.49346590909090904,1.1295703720535994,0.6859583408389394,1.1905645082583887,-0.24949124407517942,0.5869318181818183,0.41263215973474643,0.6011363636363637
SP500,tc_stockmixer,ensemble_kappa_0.0,0.0155884035313366,0.0134507900287983,,,,,0.7103601359294763,,-0.264960123567325,0.4357954545454545,,
SP500,tc_stockmixer,ensemble_kappa_0.0,0.0155884035313366,0.0134507900287983,,,,,0.7103601359294763,,-0.264960123567325,0.4357954545454545,,
